"","date","NET_PRICE","MONTH","weighted_emission","oil_price","empl_rate","eni_stocks_val","euro_dollar_rate"
"1",1996-01-01,234.05,1,0.16296098470207,"17.80",57.3726538769143,3.726241,1.09068189178569
"2",1996-02-01,234.3,2,0.16296098470207,"17.70",57.4124059680838,3.75125,1.09380434196451
"3",1996-03-01,243.32,3,0.16296098470207,"19.40",57.4512881394047,3.613704,1.09690603729877
"4",1996-04-01,254.79,4,0.16296098470207,"20.66",57.4893067829464,4.251417,1.09998697778848
"5",1996-05-01,253.5,5,0.16296098470207,"19.06",57.5264682907788,4.701567,1.10304716343363
"6",1996-06-01,248.56,6,0.16296098470207,"18.51",57.5627790549713,5.001667,1.10608659423422
"7",1996-07-01,249.11,7,0.16296098470207,"19.59",57.5982454675936,4.590844,1.10910527019025
"8",1996-08-01,250.19,8,0.16296098470207,"20.44",57.6328739207153,4.552266,1.11210319130172
"9",1996-09-01,250.51,9,0.16296098470207,"22.26",57.666670806406,5.22096,1.11508035756864
"10",1996-10-01,252.92,10,0.16296098470207,"23.61",57.6996425167355,4.886612,1.11803676899099
"11",1996-11-01,261.48,11,0.16296098470207,"22.39",57.7317954437732,5.400993,1.12097242556879
"12",1996-12-01,258.86,12,0.16296098470207,"23.62",57.7631359795888,5.310978,1.12388732730203
"13",1997-01-01,260.96,1,0.161361484569544,"23.23",57.793670516252,5.709621,1.12678147419071
"14",1997-02-01,263.85,2,0.161361484569544,"20.42",57.8234054458324,5.118083,1.12965486623484
"15",1997-03-01,265.72,3,0.161361484569544,"19.33",57.8523471603996,5.208101,1.1325075034344
"16",1997-04-01,261.77,4,0.161361484569544,"17.88",57.8805020520232,5.246679,1.13533938578941
"17",1997-05-01,261.41,5,0.161361484569544,"19.37",57.9078765127728,5.22096,1.13815051329986
"18",1997-06-01,262.62,6,0.161361484569544,"17.92",57.9344769347181,5.851075,1.14094088596575
"19",1997-07-01,261.27,7,0.161361484569544,"18.33",57.9603097099287,6.21066,1.14371050378708
"20",1997-08-01,267.89,8,0.161361484569544,"18.70",57.9853812304742,5.860856,1.14645936676386
"21",1997-09-01,266.33,9,0.161361484569544,"18.66",58.0096978884242,6.633063,1.14918747489607
"22",1997-10-01,262.74,10,0.161361484569544,"20.04",58.0332660758484,5.953257,1.15189482818373
"23",1997-11-01,260.77,11,0.161361484569544,"19.09",58.0560921848164,6.131457,1.15458142662683
"24",1997-12-01,251.86,12,0.161361484569544,"17.09",58.0781826073978,6.025857,1.15724727022537
