DATA_RILEVAZIONE,BENZINA,GASOLIO_AUTO,GPL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ
2005-01-03,371.15,445.36,303.8,387.21,336.11,198.13
2005-01-10,348.03,433.78,303.86,386.74,337,206.98
2005-01-17,348.14,433.72,303.28,390.47,344.78,214.5
2005-01-24,349.7,433.72,303.28,400.11,354.45,212.45
2005-01-31,384.79,448.96,303.28,407.58,359.73,211.14
2005-02-07,387.92,449.02,303.28,393.17,347.05,218.85
2005-02-14,387.93,448.84,303.28,399.71,348.79,215.47
2005-02-21,388.06,449.12,303.28,403.7,348.62,211.45
2005-02-28,382.7,439.38,303.28,421.31,353.13,226.78
2005-03-07,401.65,459.99,303.69,440.17,366.87,235.4
2005-03-14,424.25,480.93,304.68,435.96,366.98,241.7
2005-03-21,424.32,481.05,304.68,442.54,368.87,245.47
2005-04-04,425.93,482.53,304.68,451.08,381.5,258.39
2005-04-11,466.29,522.67,304.89,455.82,386.09,282.14
2005-04-18,466.29,522.67,304.89,445.53,381.13,257.81
2005-04-25,465.08,521.54,304.89,443.52,383.37,263.43
2005-05-02,465.08,497.77,304.38,437.1,378.87,258.02
2005-05-09,448.82,480.93,304.38,430.75,371.73,248.6
2005-05-16,436.93,472.52,304.38,418.74,358.86,252.67
2005-05-23,424.55,464.23,304.38,422.15,365.7,260.94
2005-05-30,424.55,464.23,304.38,430.96,373.23,255.83
2005-06-06,434.22,482.46,304.38,450.43,379.47,258.67
2005-06-13,449.55,505.63,304.38,462.63,388.48,260.86
2005-06-20,449.7,507.03,304.38,471.8,394.81,279.96
2005-06-27,461.99,521.04,304.38,479.74,411.21,297.39
2005-07-04,474.16,529.54,304.58,483.81,419.58,285.17
2005-07-11,474.46,530.31,304.58,498.2,422.14,298.02
2005-07-18,475.72,531.48,304.58,490.67,419.67,293.94
2005-07-25,474.08,530.44,304.58,477.37,421.58,287.68
2005-08-01,474.55,530.44,304.58,482.35,414.46,290.31
2005-08-08,474.55,531.02,304.58,484.55,423.41,290.17
2005-08-22,499,551.38,306.01,503.23,421.2,294.82
2005-08-29,500.21,551.92,306.01,523.07,437.78,297.89
2005-09-05,525.08,569.61,306.01,553.65,459.31,328.03
2005-09-12,544.2,592.75,325.23,531.55,448.61,319.06
2005-09-19,516.38,569.18,325.88,533.88,456.78,325.33
2005-09-26,513.85,568.39,326.33,542.16,469.1,341.81
2005-10-03,548.68,601.25,337.75,554.67,465.73,340.44
2005-10-10,550.88,602.08,342.55,544.15,461.86,320.74
2005-10-17,547.72,600.93,342.55,551.4,472.21,337.46
2005-10-24,515.65,593.79,342.55,534.78,468.54,332.02
2005-10-31,483.34,561.18,344.46,533.12,468,329.84
2005-11-07,481.9,559.78,347.11,517.06,456.41,312.3
2005-11-14,474.29,535.61,348.85,506.74,456.83,314.45
2005-11-21,458.18,519.05,364.98,505.84,454.46,320.6
2005-11-28,457.83,519.05,367.55,492.32,458.42,306.15
2005-12-05,442.01,510.41,374,500.77,452.24,296.79
2005-12-12,448.07,516.04,374,503.34,457.01,321.56
2005-12-19,459.36,527.3,374.64,509.63,460.6,319.75
2006-01-02,450.35,518.49,374.64,499.35,450.39,315.28
2006-01-09,482.43,550.13,396.71,519.73,462.21,330.55
2006-01-16,485.75,551.19,401.49,515.2,462.07,330.33
2006-01-23,486.07,551.13,402.91,527.06,469.51,345.05
2006-01-30,486.27,551.46,406.17,522.58,471.63,339.09
2006-02-06,484.48,551.39,406.59,523.76,476.38,348.71
2006-02-13,484.27,551.39,406.59,515.43,477.51,352.57
2006-02-20,459.63,534.67,406.59,513.54,475.85,348.7
2006-02-27,457.97,535.32,406.59,516.15,481.03,355.41
2006-03-06,482.67,559.52,411.08,532.98,485.98,344.13
2006-03-13,482.67,559.63,411.08,522.89,476.46,333.81
2006-03-20,487.51,561.25,411.08,525.39,483.02,339.28
2006-03-27,487.23,561.55,411.08,527.16,475.92,331.43
2006-04-03,508.21,561.59,404.62,532.41,484.71,328.62
2006-04-10,510.98,561.68,389.36,531.82,478.91,329.38
2006-04-24,551.02,593.74,386.37,554.19,484.71,339.19
2006-05-01,554.38,596.03,386.37,555.21,475.83,334.25
2006-05-02,554.38,596.03,386.37,555.21,475.83,334.25
2006-05-08,557.07,597.52,386.37,549.88,485.29,331.17
2006-05-15,556.18,588.69,386.37,559.8,475.88,331.04
2006-05-22,550.45,585.52,386.37,543.62,480.92,324.36
2006-05-29,549.18,584.06,386.37,542.37,482.06,328.83
2006-06-05,549.67,584.49,386.37,541.75,479.13,326.87
2006-06-12,549.93,584.6,386.37,543.34,476.68,320
2006-06-19,549.93,584.6,386.37,546.45,482.96,311.01
2006-06-26,549.93,584.6,386.37,547.16,482.36,311.05
2006-07-03,564.41,584.6,386.37,550.45,479.22,311.18
2006-07-10,575.26,588.56,386.37,546.4,481.21,314.98
2006-07-17,590.23,593.05,386.37,557.78,488.55,329.22
2006-07-24,592.18,593.05,386.37,547.19,486.16,324.16
2006-07-31,591.97,592.36,386.37,550.03,488.59,326.9
2006-08-07,593.15,592.36,385.9,555.06,495.05,330.61
2006-08-14,593.9,592.58,385.9,556.38,494.93,329.44
2006-08-21,571.06,592.85,385.9,552.64,490.62,316.34
2006-08-28,544.29,592.68,385.9,558.06,480.29,313.89
2006-09-04,513.76,577.46,385.88,552.24,489.11,305.57
2006-09-11,495.45,568.33,385.36,540.91,479.76,293.25
2006-09-18,478.97,552.33,384.9,517.01,465.26,278.85
2006-09-25,462.27,527.57,384.75,502.21,455.42,261.88
2006-10-02,461.13,526.28,384.21,505.36,443.63,264.33
2006-10-09,452.69,514.8,382.54,501.78,438.9,260.42
2006-10-16,452.49,514.8,382.54,501.56,442.61,271.06
2006-10-23,452.49,514.8,382.54,499.86,440.95,266.29
2006-10-30,452.49,514.85,382.54,504.32,438.95,266.1
2006-11-06,452.69,514.68,382.54,490.43,432.85,263.78
2006-11-13,452.61,514.12,382.54,498.12,433.29,264.14
2006-11-20,451.65,512.13,382.54,498.06,432.11,260.56
2006-11-27,451.74,512.23,382.54,493.3,426.39,254.11
2006-12-04,452.02,512.23,382.54,504.96,433.97,256.01
2006-12-11,452.02,512.23,382.54,497.04,427.76,250.09
2006-12-18,452.02,512.23,382.54,498.47,424.81,253.29
2007-01-08,451.57,512.58,382.54,476.11,416.39,245.35
2007-01-15,442.41,499.03,382.54,468.17,416.17,244.39
2007-01-22,434.99,483.88,382.54,457.92,402.11,231.97
2007-01-29,434.52,483.77,382.54,469.15,419.18,240.2
2007-02-05,434.83,483.45,382.54,475.52,419.63,248.04
2007-02-12,436.66,485.4,382.54,477.52,425.33,259.58
2007-02-19,437.22,485.73,382.54,471.67,419.4,249.68
2007-02-26,454.05,498.86,382.54,480.78,426.91,257.74
2007-03-05,462.24,500.47,382.54,484.22,427.3,265.71
2007-03-12,470.39,508.1,382.54,486.99,430.3,266.71
2007-03-19,469.96,508.1,382.54,484.82,424.05,262.94
2007-03-26,469.69,507.71,382.54,485.98,425.23,270.31
2007-04-02,483,512.22,382.54,499.78,434.96,282.76
2007-04-16,499.51,523.39,401.09,510.34,447.19,287.09
2007-04-23,502.34,524.1,408.9,503.22,451.91,290.23
2007-04-30,514.02,524.59,392.55,503.92,445.19,298.69
2007-05-07,527.19,525.08,392.55,506.37,447.5,301.72
2007-05-14,530.03,524.83,391.31,505.82,446.64,296.42
2007-05-21,541.46,527.24,389.29,511.5,449.16,302.31
2007-05-28,554.94,533.44,388.04,514.69,450.96,313.31
2007-06-04,555.87,533.48,388.04,507.37,451.15,305.95
2007-06-11,557.84,535.98,388.04,516.66,454.32,311.62
2007-06-18,557.78,536.92,386.79,519.67,458.34,316.16
2007-06-25,561.77,540.63,386.79,523.86,464.1,318.71
2007-07-02,561.91,541.84,388.03,519.97,463.31,330.08
2007-07-09,562.96,542.49,388.03,526.62,476.53,335.98
2007-07-16,568.4,547.33,396.2,529.47,472.64,333.37
2007-07-23,566.58,547.27,396.2,530.93,473.77,341.23
2007-07-30,559.77,554.08,396.2,533.27,475.76,342.67
2007-08-06,546.78,562.2,396.16,534.69,476.61,339.46
2007-08-13,521.33,555.67,396.61,526.41,462.16,331.12
2007-08-20,520.29,553.19,396.16,522.4,467,335.65
2007-08-27,514.02,547.36,396.16,520.34,453.5,318.96
2007-09-03,517.64,550.12,396.16,527.11,456.73,324.59
2007-09-10,526.69,554.93,396.69,535.32,471.74,331.07
2007-09-17,525.58,567.49,396.69,545.33,473.51,334.94
2007-09-24,530.37,574.88,396.69,553.46,475.89,335.35
